Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Noel Leeming Albany,5.00,4.00,4.00,5.00,4.00,0.00,0.00
Noel Leeming Botany,5.00,5.00,5.00,5.00,7.00,0.00,0.00
Noel Leeming Glenfield Clearance,4.00,4.00,4.00,4.00,5.00,0.00,0.00
Noel Leeming Henderson,3.00,5.00,6.00,5.00,6.00,0.00,0.00
Noel Leeming Lunn Avenue,4.00,4.00,4.00,5.00,4.00,0.00,0.00
Noel Leeming Manukau Supa Centre,5.00,6.00,4.00,4.00,4.00,0.00,0.00
Noel Leeming Manukau Westfield,5.00,4.00,3.00,6.00,5.00,0.00,0.00
Noel Leeming Massey,5.00,3.00,4.00,6.00,5.00,0.00,0.00
Noel Leeming New Lynn,5.00,6.00,4.00,3.00,6.00,0.00,0.00
Noel Leeming Newmarket,5.00,4.00,6.00,5.00,5.00,0.00,0.00
Noel Leeming Ormiston,5.00,6.00,5.00,5.00,4.00,0.00,0.00
Noel Leeming Papakura,4.00,5.00,5.00,4.00,5.00,0.00,0.00
Noel Leeming Papatoetoe,4.00,5.00,5.00,5.00,5.00,0.00,0.00
Noel Leeming Penrose Clearance,5.00,4.00,4.00,6.00,5.00,0.00,0.00
Noel Leeming Queen Street,5.00,7.00,4.00,4.00,4.00,0.00,0.00
Noel Leeming Royal Oak,4.00,5.00,4.00,6.00,4.00,0.00,0.00
Noel Leeming St Lukes Mega,6.00,6.00,5.00,5.00,4.00,0.00,0.00
Noel Leeming St Lukes Westfield,4.00,4.00,5.00,5.00,5.00,0.00,0.00
Noel Leeming Sylvia Park,5.00,5.00,4.00,5.00,4.00,0.00,0.00
Noel Leeming Wairau Park,4.00,6.00,6.00,5.00,4.00,0.00,0.00
The Warehouse Airport,6.00,6.00,8.00,6.00,7.00,3.00,0.00
The Warehouse Albany,6.00,6.00,8.00,8.00,8.00,4.00,0.00
The Warehouse Botany Downs,5.00,7.00,7.00,6.00,7.00,3.00,0.00
The Warehouse Clendon,6.00,7.00,7.00,7.00,8.00,3.00,0.00
The Warehouse Glenfield Mall,8.00,6.00,7.00,6.00,7.00,3.00,0.00
The Warehouse Lincoln Road,6.00,7.00,8.00,7.00,8.00,3.00,0.00
The Warehouse Manukau,7.00,6.00,6.00,8.00,6.00,4.00,0.00
The Warehouse Milford,5.00,8.00,6.00,7.00,7.00,3.00,0.00
The Warehouse New Lynn,8.00,6.00,6.00,6.00,8.00,2.00,0.00
The Warehouse Pakuranga,6.00,6.00,8.00,8.00,7.00,2.00,0.00
The Warehouse Sylvia Park,7.00,7.00,5.00,7.00,7.00,3.00,0.00
The Warehouse Takanini,8.00,6.00,6.00,6.00,7.00,3.00,0.00
The Warehouse WestCity,8.00,7.00,7.00,6.00,8.00,4.00,0.00
The Warehouse Westgate,8.00,6.00,9.00,6.00,6.00,2.00,0.00
The Warehouse Atrium,7.00,7.00,6.00,6.00,7.00,3.00,0.00
The Warehouse Lunn Avenue,6.00,7.00,6.00,7.00,7.00,2.00,0.00
The Warehouse Mt Roskill,7.00,7.00,5.00,6.00,7.00,3.00,0.00
The Warehouse Newmarket,8.00,7.00,7.00,6.00,5.00,4.00,0.00
The Warehouse Royal Oak,8.00,8.00,5.00,7.00,8.00,4.00,0.00
The Warehouse St Lukes,7.00,7.00,8.00,7.00,6.00,2.00,0.00
