Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Noel Leeming Albany,7,6,4,7,5,0,0
Noel Leeming Botany,6,6,7,5,8,0,0
Noel Leeming Glenfield Clearance,5,5,5,5,5,0,0
Noel Leeming Henderson,4,6,7,6,7,0,0
Noel Leeming Lunn Avenue,5,6,5,5,5,0,0
Noel Leeming Manukau Supa Centre,6,8,5,4,5,0,0
Noel Leeming Manukau Westfield,6,5,4,6,6,0,0
Noel Leeming Massey,5,4,4,6,6,0,0
Noel Leeming New Lynn,5,7,5,4,8,0,0
Noel Leeming Newmarket,6,6,8,6,6,0,0
Noel Leeming Ormiston,6,7,6,6,6,0,0
Noel Leeming Papakura,6,6,7,5,7,0,0
Noel Leeming Papatoetoe,5,6,6,6,7,0,0
Noel Leeming Penrose Clearance,6,6,6,7,7,0,0
Noel Leeming Queen Street,6,9,5,5,6,0,0
Noel Leeming Royal Oak,4,7,6,6,5,0,0
Noel Leeming St Lukes Mega,7,7,6,6,5,0,0
Noel Leeming St Lukes Westfield,4,6,6,10,6,0,0
Noel Leeming Sylvia Park,5,5,6,6,6,0,0
Noel Leeming Wairau Park,5,7,7,7,6,0,0
The Warehouse Airport,7,8,9,8,8,4,0
The Warehouse Albany,7,7,10,9,10,4,0
The Warehouse Botany Downs,7,7,9,10,9,3,0
The Warehouse Clendon,6,8,9,8,9,3,0
The Warehouse Glenfield Mall,8,8,10,8,8,4,0
The Warehouse Lincoln Road,8,9,12,9,9,4,0
The Warehouse Manukau,8,8,7,8,8,4,0
The Warehouse Milford,7,9,7,9,10,4,0
The Warehouse New Lynn,10,11,7,7,9,4,0
The Warehouse Pakuranga,7,8,9,11,9,4,0
The Warehouse Sylvia Park,7,9,6,8,8,4,0
The Warehouse Takanini,9,7,10,7,9,4,0
The Warehouse WestCity,9,7,9,9,10,4,0
The Warehouse Westgate,9,7,12,9,6,2,0
The Warehouse Atrium,8,11,8,7,9,4,0
The Warehouse Lunn Avenue,8,10,7,9,8,2,0
The Warehouse Mt Roskill,9,8,6,8,9,4,0
The Warehouse Newmarket,11,9,8,7,7,4,0
The Warehouse Royal Oak,9,9,8,8,9,4,0
The Warehouse St Lukes,9,7,10,8,8,3,0
