Name,Weekday,Weekend
Noel Leeming Albany,5.00,0.00
Noel Leeming Botany,5.00,0.00
Noel Leeming Glenfield Clearance,4.00,0.00
Noel Leeming Henderson,5.00,0.00
Noel Leeming Lunn Avenue,4.00,0.00
Noel Leeming Manukau Supa Centre,5.00,0.00
Noel Leeming Manukau Westfield,5.00,0.00
Noel Leeming Massey,5.00,0.00
Noel Leeming New Lynn,5.00,0.00
Noel Leeming Newmarket,5.00,0.00
Noel Leeming Ormiston,5.00,0.00
Noel Leeming Papakura,5.00,0.00
Noel Leeming Papatoetoe,5.00,0.00
Noel Leeming Penrose Clearance,5.00,0.00
Noel Leeming Queen Street,5.00,0.00
Noel Leeming Royal Oak,5.00,0.00
Noel Leeming St Lukes Mega,5.00,0.00
Noel Leeming St Lukes Westfield,5.00,0.00
Noel Leeming Sylvia Park,5.00,0.00
Noel Leeming Wairau Park,5.00,0.00
The Warehouse Airport,7.00,3.00
The Warehouse Albany,7.00,4.00
The Warehouse Botany Downs,6.00,3.00
The Warehouse Clendon,7.00,3.00
The Warehouse Glenfield Mall,7.00,3.00
The Warehouse Lincoln Road,7.00,3.00
The Warehouse Manukau,7.00,4.00
The Warehouse Milford,7.00,3.00
The Warehouse New Lynn,7.00,2.00
The Warehouse Pakuranga,7.00,2.00
The Warehouse Sylvia Park,7.00,3.00
The Warehouse Takanini,7.00,3.00
The Warehouse WestCity,7.00,4.00
The Warehouse Westgate,7.00,2.00
The Warehouse Atrium,7.00,3.00
The Warehouse Lunn Avenue,7.00,2.00
The Warehouse Mt Roskill,7.00,3.00
The Warehouse Newmarket,7.00,4.00
The Warehouse Royal Oak,7.00,4.00
The Warehouse St Lukes,7.00,2.00
