Name,Weekday,Weekend
Noel Leeming Albany,7.00,0.00
Noel Leeming Botany,8.00,0.00
Noel Leeming Glenfield Clearance,5.00,0.00
Noel Leeming Henderson,7.00,0.00
Noel Leeming Lunn Avenue,6.00,0.00
Noel Leeming Manukau Supa Centre,8.00,0.00
Noel Leeming Manukau Westfield,6.00,0.00
Noel Leeming Massey,6.00,0.00
Noel Leeming New Lynn,8.00,0.00
Noel Leeming Newmarket,8.00,0.00
Noel Leeming Ormiston,7.00,0.00
Noel Leeming Papakura,7.00,0.00
Noel Leeming Papatoetoe,7.00,0.00
Noel Leeming Penrose Clearance,7.00,0.00
Noel Leeming Queen Street,9.00,0.00
Noel Leeming Royal Oak,7.00,0.00
Noel Leeming St Lukes Mega,7.00,0.00
Noel Leeming St Lukes Westfield,10.00,0.00
Noel Leeming Sylvia Park,6.00,0.00
Noel Leeming Wairau Park,7.00,0.00
The Warehouse Airport,9.00,4.00
The Warehouse Albany,10.00,4.00
The Warehouse Botany Downs,10.00,3.00
The Warehouse Clendon,9.00,3.00
The Warehouse Glenfield Mall,10.00,4.00
The Warehouse Lincoln Road,12.00,4.00
The Warehouse Manukau,8.00,4.00
The Warehouse Milford,10.00,4.00
The Warehouse New Lynn,11.00,4.00
The Warehouse Pakuranga,11.00,4.00
The Warehouse Sylvia Park,9.00,4.00
The Warehouse Takanini,10.00,4.00
The Warehouse WestCity,10.00,4.00
The Warehouse Westgate,12.00,2.00
The Warehouse Atrium,11.00,4.00
The Warehouse Lunn Avenue,10.00,2.00
The Warehouse Mt Roskill,9.00,4.00
The Warehouse Newmarket,11.00,4.00
The Warehouse Royal Oak,9.00,4.00
The Warehouse St Lukes,10.00,3.00
